Company,Last valuation(US$billions),Valuation date,Exit date,Exit reason,Exit valuation(US$billions),Country,Founders,col_8,Founder_Genders
Bloom Energy,2.83,January 2015[5],July 2018[824],IPO,1.6,United States,,,[]
Moderna Therapeutics,7.5,February 2018[825],December 2018,IPO,7.5,United States,,,[]
Vlocity,1.0,March 2019[826],February 2020[827],Acquired,1.33,United States,,,[]
JFrog,1+,October 2018[828],September 2020[829],IPO,3.9,Israel / United States,,,[]
Glovo,1+,December 2019[830],January 2022[831],Acquired,2.6,Spain,,,[]
Innovent Biologics,1+,April 2018[183],November 2018[832],IPO,2.1,China,,,[]
iTutorGroup,1+,August 2016[183],July 2019[833],Acquired,,China,,,[]
9F,1+,March 2018[183],August 2019,IPO,2.1,China,,,[]
Fangdd.com,1+,September 2015[183],November 2019[834],IPO,1.2,China,,,[]
36KrMedia,1+,December 2017[183],November 2019[835],IPO,0.67,China,,,[]
Fanli,1+,April 2015[183],March 2020[836],Direct listing,,China,,,[]
17Zuoye,1+,March 2018[183],December 2020[837],IPO,2.2,China,,,[]
Zimi,1+,February 2015[183],March 2021[838],Acquired,0.4,China,,,[]
QingCloud,1+,June 2017[183],March 2021[839],IPO,0.46,China,,,[]
Novogene,1+,November 2016[183],April 2021,IPO,,China,,,[]
MissFresh,1+,December 2017[183],June 2021[840],IPO,2.5,China,,,[]
Essential Products,1+,August 2017[841],February 2020[842],Defunct,,United States,,,[]
